id,name,number,rarity,hp,types,set_id,set_name,price_type,market_price
me2-1,Oddish,1,Common,50,Grass,me2,Phantasmal Flames,Normal,0.09
me2-1,Oddish,1,Common,50,Grass,me2,Phantasmal Flames,Reverse Holo,0.2
me2-2,Gloom,2,Common,70,Grass,me2,Phantasmal Flames,Normal,0.06
me2-2,Gloom,2,Common,70,Grass,me2,Phantasmal Flames,Reverse Holo,0.2
me2-3,Vileplume,3,Rare,150,Grass,me2,Phantasmal Flames,Holofoil,0.11
me2-3,Vileplume,3,Rare,150,Grass,me2,Phantasmal Flames,Reverse Holo,0.29
me2-4,Mega Heracross ex,4,Double Rare,280,Grass,me2,Phantasmal Flames,Holofoil,0.53
me2-5,Lotad,5,Common,70,Grass,me2,Phantasmal Flames,Normal,0.11
me2-5,Lotad,5,Common,70,Grass,me2,Phantasmal Flames,Reverse Holo,0.23
me2-6,Lombre,6,Common,90,Grass,me2,Phantasmal Flames,Normal,0.1
me2-6,Lombre,6,Common,90,Grass,me2,Phantasmal Flames,Reverse Holo,0.24
me2-7,Ludicolo,7,Uncommon,160,Grass,me2,Phantasmal Flames,Normal,0.14
me2-7,Ludicolo,7,Uncommon,160,Grass,me2,Phantasmal Flames,Reverse Holo,0.16
me2-8,Genesect,8,Rare,120,Grass,me2,Phantasmal Flames,Holofoil,0.14
me2-8,Genesect,8,Rare,120,Grass,me2,Phantasmal Flames,Reverse Holo,0.29
me2-9,Nymble,9,Common,50,Grass,me2,Phantasmal Flames,Normal,0.13
me2-9,Nymble,9,Common,50,Grass,me2,Phantasmal Flames,Reverse Holo,0.24
me2-10,Lokix,10,Uncommon,120,Grass,me2,Phantasmal Flames,Normal,0.08
me2-10,Lokix,10,Uncommon,120,Grass,me2,Phantasmal Flames,Reverse Holo,0.19
me2-11,Charmander,11,Common,80,Fire,me2,Phantasmal Flames,Normal,0.19
me2-11,Charmander,11,Common,80,Fire,me2,Phantasmal Flames,Reverse Holo,0.28
me2-12,Charmeleon,12,Common,110,Fire,me2,Phantasmal Flames,Normal,0.14
me2-12,Charmeleon,12,Common,110,Fire,me2,Phantasmal Flames,Reverse Holo,0.27
me2-13,Mega Charizard X ex,13,Double Rare,360,Fire,me2,Phantasmal Flames,Holofoil,4.9
me2-14,Moltres,14,Rare,120,Fire,me2,Phantasmal Flames,Holofoil,0.2
me2-14,Moltres,14,Rare,120,Fire,me2,Phantasmal Flames,Reverse Holo,0.26
me2-15,Darumaka,15,Common,80,Fire,me2,Phantasmal Flames,Normal,0.08
me2-15,Darumaka,15,Common,80,Fire,me2,Phantasmal Flames,Reverse Holo,0.15
me2-16,Darmanitan,16,Uncommon,150,Fire,me2,Phantasmal Flames,Normal,0.03
me2-16,Darmanitan,16,Uncommon,150,Fire,me2,Phantasmal Flames,Reverse Holo,0.23
me2-17,Reshiram,17,Rare,130,Fire,me2,Phantasmal Flames,Holofoil,0.15
me2-17,Reshiram,17,Rare,130,Fire,me2,Phantasmal Flames,Reverse Holo,0.26
me2-18,Oricorio ex,18,Double Rare,190,Fire,me2,Phantasmal Flames,Holofoil,0.46
me2-19,Charcadet,19,Common,70,Fire,me2,Phantasmal Flames,Normal,0.08
me2-19,Charcadet,19,Common,70,Fire,me2,Phantasmal Flames,Reverse Holo,0.21
me2-20,Ceruledge,20,Uncommon,140,Fire,me2,Phantasmal Flames,Normal,0.13
me2-20,Ceruledge,20,Uncommon,140,Fire,me2,Phantasmal Flames,Reverse Holo,0.25
me2-21,Seel,21,Common,80,Water,me2,Phantasmal Flames,Normal,0.07
me2-21,Seel,21,Common,80,Water,me2,Phantasmal Flames,Reverse Holo,0.19
me2-22,Dewgong,22,Common,130,Water,me2,Phantasmal Flames,Normal,0.04
me2-22,Dewgong,22,Common,130,Water,me2,Phantasmal Flames,Reverse Holo,0.23
me2-23,Swinub,23,Common,70,Water,me2,Phantasmal Flames,Normal,0.04
me2-23,Swinub,23,Common,70,Water,me2,Phantasmal Flames,Reverse Holo,0.21
me2-24,Piloswine,24,Common,100,Water,me2,Phantasmal Flames,Normal,0.05
me2-24,Piloswine,24,Common,100,Water,me2,Phantasmal Flames,Reverse Holo,0.19
me2-25,Mamoswine,25,Uncommon,180,Water,me2,Phantasmal Flames,Normal,0.05
me2-25,Mamoswine,25,Uncommon,180,Water,me2,Phantasmal Flames,Reverse Holo,0.22
