id,name,number,rarity,hp,types,set_id,market_price_normal,market_price_holofoil,market_price_reverse
base1-1,Alakazam,1,Rare Holo,80,Psychic,base1,,68.55,
base1-2,Blastoise,2,Rare Holo,100,Water,base1,,213.81,
base1-3,Chansey,3,Rare Holo,120,Colorless,base1,,49.54,
base1-4,Charizard,4,Rare Holo,120,Fire,base1,,553.47,
base1-5,Clefairy,5,Rare Holo,40,Colorless,base1,,34.32,
base1-6,Gyarados,6,Rare Holo,100,Water,base1,,40.4,
base1-7,Hitmonchan,7,Rare Holo,70,Fighting,base1,,26.1,
base1-8,Machamp,8,Rare Holo,100,Fighting,base1,,,
base1-9,Magneton,9,Rare Holo,60,Lightning,base1,,35.1,
base1-10,Mewtwo,10,Rare Holo,60,Psychic,base1,,78.78,
base1-11,Nidoking,11,Rare Holo,90,Grass,base1,,39.9,
base1-12,Ninetales,12,Rare Holo,80,Fire,base1,,37.05,
base1-13,Poliwrath,13,Rare Holo,90,Water,base1,,32.05,
base1-14,Raichu,14,Rare Holo,80,Lightning,base1,,67.95,
base1-15,Venusaur,15,Rare Holo,100,Grass,base1,,148.63,
base1-16,Zapdos,16,Rare Holo,90,Lightning,base1,,54.37,
base1-17,Beedrill,17,Rare,80,Grass,base1,7.19,,
base1-18,Dragonair,18,Rare,80,Colorless,base1,15.03,,
base1-19,Dugtrio,19,Rare,70,Fighting,base1,9.33,,
base1-20,Electabuzz,20,Rare,70,Lightning,base1,9.38,,
base1-21,Electrode,21,Rare,80,Lightning,base1,7.37,,
base1-22,Pidgeotto,22,Rare,60,Colorless,base1,10.34,,
base1-23,Arcanine,23,Uncommon,100,Fire,base1,3.61,,
base1-24,Charmeleon,24,Uncommon,80,Fire,base1,2.79,,
base1-25,Dewgong,25,Uncommon,80,Water,base1,2.49,,
base1-26,Dratini,26,Uncommon,40,Colorless,base1,2.29,,
base1-27,Farfetch'd,27,Uncommon,50,Colorless,base1,1.01,,
base1-28,Growlithe,28,Uncommon,60,Fire,base1,1.02,,
base1-29,Haunter,29,Uncommon,60,Psychic,base1,1.78,,
base1-30,Ivysaur,30,Uncommon,60,Grass,base1,3.02,,
base1-31,Jynx,31,Uncommon,70,Psychic,base1,0.94,,
base1-32,Kadabra,32,Uncommon,60,Psychic,base1,1.64,,
base1-33,Kakuna,33,Uncommon,80,Grass,base1,1.46,,
base1-34,Machoke,34,Uncommon,80,Fighting,base1,0.85,,
base1-35,Magikarp,35,Uncommon,30,Water,base1,3.72,,
base1-36,Magmar,36,Uncommon,50,Fire,base1,2.37,,
base1-37,Nidorino,37,Uncommon,60,Grass,base1,2.29,,
base1-38,Poliwhirl,38,Uncommon,60,Water,base1,1.31,,
base1-39,Porygon,39,Uncommon,30,Colorless,base1,2.84,,
base1-40,Raticate,40,Uncommon,60,Colorless,base1,1.85,,
base1-41,Seel,41,Uncommon,60,Water,base1,1.1,,
base1-42,Wartortle,42,Uncommon,70,Water,base1,3.39,,
base1-43,Abra,43,Common,30,Psychic,base1,1.1,,
base1-44,Bulbasaur,44,Common,40,Grass,base1,2.9,,
base1-45,Caterpie,45,Common,40,Grass,base1,0.93,,
base1-46,Charmander,46,Common,50,Fire,base1,1.93,,
base1-47,Diglett,47,Common,30,Fighting,base1,0.74,,
base1-48,Doduo,48,Common,50,Colorless,base1,1.28,,
